,count,Primary Completion Date
285,1,June 2025
286,1,"April 26, 2023"
287,1,"November 27, 2017"
288,1,"April 28, 2016"
289,1,"January 4, 2024"
290,1,"June 10, 2019"
291,1,"June 13, 2020"
292,1,March 2030
293,1,"July 15, 2020"
294,1,"June 28, 2018"
295,1,"May 10, 2019"
296,1,"March 30, 2019"
297,1,February 2019
298,1,"August 31, 2019"
299,1,"December 4, 2017"
300,1,"April 6, 2017"
301,1,"April 2, 2019"
302,1,"May 12, 2021"
303,1,"August 28, 2018"
304,1,"October 30, 2017"
305,1,"March 1, 2019"
306,1,"May 15, 2019"
307,1,"March 31, 2018"
308,1,"September 1, 2019"
309,1,"March 26, 2019"
310,1,"March 12, 2018"
311,1,"June 15, 2022"
312,1,"March 31, 2016"
313,1,"December 29, 2021"
314,1,"September 25, 2018"
315,1,"July 30, 2023"
316,1,"July 25, 2019"
317,1,February 2018
318,1,"April 2, 2022"
319,1,"May 5, 2018"
320,1,"December 31, 2016"
321,1,"May 22, 2020"
322,1,"January 15, 2019"
323,1,"July 20, 2019"
324,1,"March 23, 2020"
325,1,"October 15, 2018"
326,1,"May 15, 2018"
327,1,"May 1, 2019"
328,1,"October 10, 2017"
329,1,September 2027
330,1,"November 13, 2017"
331,1,May 2012
332,1,"May 18, 2020"
333,1,"April 25, 2016"
334,1,"December 19, 2015"
335,1,October 2012
336,1,February 2013
337,1,"April 1, 2009"
338,1,November 2009
339,1,"March 19, 2018"
340,1,"January 18, 2012"
341,1,"July 17, 2032"
342,1,"June 18, 2019"
343,1,June 2010
344,1,"January 10, 2014"
345,1,"August 28, 2016"
346,1,"May 11, 2017"
347,1,"February 28, 2014"
348,1,February 2011
349,1,September 2015
350,1,"May 4, 2017"
351,1,July 2025
352,1,"December 31, 2015"
353,1,"April 11, 2018"
354,1,"August 31, 2022"
355,1,"March 4, 2021"
356,1,"June 2, 2017"
357,1,"April 1, 2017"
358,1,February 2009
359,1,"July 11, 2012"
360,1,October 2010
361,1,"November 30, 2011"
362,1,"September 2, 2009"
363,1,April 2007
364,1,"October 4, 2006"
365,1,"July 28, 2006"
366,1,October 2008
367,1,November 2001
368,1,August 2007
369,1,April 2008
370,1,"April 25, 2006"
371,1,"July 21, 2006"
372,1,"December 26, 2008"
373,1,May 2009
374,1,"July 10, 2018"
375,1,July 2008
376,1,"July 14, 2009"
377,1,January 2012
378,1,"March 9, 2009"
379,1,"December 12, 2010"
380,1,July 2000
381,1,"October 20, 2017"
382,1,"May 18, 2011"
383,1,January 2011
384,1,January 2010
385,1,"April 6, 2021"
386,1,"March 16, 2020"
387,1,"February 5, 2016"
388,1,"May 1, 2017"
389,1,"September 30, 2017"
390,1,"July 5, 2018"
391,1,February 2015
392,1,"July 30, 2019"
393,1,"July 19, 2016"
394,1,"January 28, 2015"
395,1,"April 1, 2035"
396,1,"August 29, 2017"
397,1,"May 18, 2018"
398,1,"October 30, 2016"
399,1,"January 18, 2018"
400,1,"April 27, 2018"
401,1,"January 31, 2018"
402,1,"June 15, 2020"
403,1,"August 10, 2018"
404,1,"April 13, 2017"
405,1,"December 13, 2017"
406,1,August 2016
407,1,"December 8, 2021"
408,1,August 2025
409,1,"May 3, 2021"
410,1,"March 2, 2018"
411,1,"April 2, 2020"
412,1,"March 5, 2019"
413,1,"March 7, 2017"
414,1,"June 21, 2016"
415,1,"February 9, 2020"
416,1,"March 27, 2019"
417,1,"June 1, 2017"
418,1,"February 28, 2015"
419,1,"December 10, 2014"
420,1,"May 1, 2018"
421,1,"December 16, 2015"
422,1,May 2018
423,1,"February 24, 2020"
424,1,"March 2, 2017"
425,1,"December 11, 2015"
426,1,"May 4, 2016"
427,1,"May 29, 2020"
428,1,"May 2, 2017"
429,1,"November 1, 2018"
430,1,"October 2, 2019"
431,1,"May 19, 2016"
432,1,"March 9, 2017"
433,1,"March 18, 2019"
434,1,"August 15, 2016"
435,1,"April 14, 2016"
436,1,"September 27, 2019"
437,1,"June 15, 2018"
438,1,"December 19, 2019"
439,1,"December 20, 2018"
440,1,"May 3, 2019"
441,1,"December 31, 2017"
442,1,"May 1, 2023"
443,1,"February 1, 2024"
444,1,"June 1, 2025"
445,1,"January 6, 2023"
446,1,"April 22, 2021"
447,1,"July 10, 2010"
448,1,"February 20, 2021"
449,1,"December 23, 2026"
450,1,"July 30, 2022"
451,1,"December 31, 2013"
452,1,"May 2, 2021"
453,1,"July 20, 2020"
454,1,"May 1, 2021"
455,1,"October 30, 2021"
456,1,"March 23, 2023"
457,1,"December 3, 2022"
458,1,"January 10, 2020"
459,1,"January 24, 2024"
460,1,"February 2, 2021"
461,1,"September 25, 2022"
462,1,"December 29, 2023"
463,1,"December 27, 2019"
464,1,"July 1, 2025"
465,1,"August 20, 2020"
466,1,"September 17, 2022"
467,1,"August 4, 2021"
468,1,"May 14, 2021"
469,1,"January 28, 2024"
470,1,January 2027
471,1,"June 6, 2020"
472,1,"December 20, 2020"
473,1,"June 7, 2021"
474,1,"November 24, 2020"
475,1,February 2034
476,1,"April 30, 2022"
477,1,"August 12, 2019"
478,1,"February 14, 2025"
479,1,"April 15, 2022"
480,1,"April 14, 2021"
481,1,"June 9, 2027"
482,1,"July 16, 2020"
483,1,"March 1, 2011"
484,1,"December 20, 2019"
485,1,September 2024
486,1,"September 12, 2020"
487,1,"July 24, 2020"
488,1,"May 31, 2020"
489,1,"July 15, 2023"
490,1,"May 12, 2020"
491,1,"August 15, 2021"
492,1,"February 25, 2020"
493,1,"April 30, 2020"
494,1,"March 1, 2017"
495,1,"January 30, 2019"
496,1,"November 2, 2020"
497,1,"May 31, 2029"
498,1,"February 14, 2020"
499,1,"October 11, 2020"
500,1,"July 9, 2021"
501,1,"September 15, 2020"
502,1,"December 1, 2024"
503,1,"October 8, 2021"
504,1,"December 26, 2018"
505,1,"November 15, 2024"
506,1,"July 11, 2022"
