,count,NCT Number
0,1,NCT05193877
1,1,NCT02443961
2,1,NCT02413450
3,1,NCT02414269
4,1,NCT02414295
5,1,NCT02417311
6,1,NCT02418325
7,1,NCT02421484
8,1,NCT02439450
9,1,NCT02439541
10,1,NCT02440074
11,1,NCT02442037
12,1,NCT02442817
13,1,NCT02444455
14,1,NCT02412462
15,1,NCT02444858
16,1,NCT02445547
17,1,NCT02448121
18,1,NCT02448849
19,1,NCT02449005
20,1,NCT02450240
21,1,NCT02456350
22,1,NCT02460770
23,1,NCT02462330
24,1,NCT02464956
25,1,NCT02467387
26,1,NCT02412735
27,1,NCT02410239
28,1,NCT02469207
29,1,NCT02384018
30,1,NCT02352077
31,1,NCT02359929
32,1,NCT02362646
33,1,NCT02364713
34,1,NCT02365142
35,1,NCT02368587
36,1,NCT02375568
37,1,NCT02378974
38,1,NCT02379442
39,1,NCT02381366
40,1,NCT02382874
41,1,NCT02384499
42,1,NCT02409940
43,1,NCT02387151
44,1,NCT02387749
45,1,NCT02393703
46,1,NCT02395029
47,1,NCT02396056
48,1,NCT02398370
49,1,NCT02398604
50,1,NCT02398656
51,1,NCT02403947
52,1,NCT02407470
53,1,NCT02408432
54,1,NCT02468492
55,1,NCT02472002
56,1,NCT02589119
57,1,NCT02574390
58,1,NCT02557724
59,1,NCT02561767
60,1,NCT02563340
61,1,NCT02563366
62,1,NCT02564328
63,1,NCT02564484
64,1,NCT02565264
65,1,NCT02565459
66,1,NCT02566655
67,1,NCT02566681
68,1,NCT02570932
69,1,NCT02574572
70,1,NCT02544802
71,1,NCT02574585
72,1,NCT02579148
73,1,NCT02579369
74,1,NCT02579460
75,1,NCT02580019
76,1,NCT02580695
77,1,NCT02580747
78,1,NCT02582489
79,1,NCT02582775
80,1,NCT02585622
81,1,NCT02587572
82,1,NCT02554851
83,1,NCT02544633
84,1,NCT02474342
85,1,NCT02494752
86,1,NCT02477540
87,1,NCT02481440
88,1,NCT02482194
89,1,NCT02483364
90,1,NCT02484560
91,1,NCT02484950
92,1,NCT02490020
93,1,NCT02491658
94,1,NCT02492308
95,1,NCT02492490
96,1,NCT02492516
97,1,NCT02495766
98,1,NCT02543073
99,1,NCT02497443
100,1,NCT02498912
101,1,NCT02501811
102,1,NCT02503280
103,1,NCT02504437
104,1,NCT02509156
105,1,NCT02513238
106,1,NCT02525432
107,1,NCT02529566
108,1,NCT02530047
109,1,NCT02541370
110,1,NCT02351011
111,1,NCT02344849
112,1,NCT02338375
113,1,NCT02172885
114,1,NCT02145897
115,1,NCT02145923
116,1,NCT02147418
117,1,NCT02150551
118,1,NCT02152657
119,1,NCT02161003
120,1,NCT02162693
121,1,NCT02162953
122,1,NCT02165904
123,1,NCT02166021
124,1,NCT02166489
125,1,NCT02181478
126,1,NCT02138331
127,1,NCT02181712
128,1,NCT02192736
129,1,NCT02192749
130,1,NCT02192775
131,1,NCT02193724
132,1,NCT02195323
133,1,NCT02208713
134,1,NCT02209311
135,1,NCT02210624
136,1,NCT02213705
137,1,NCT02215811
138,1,NCT02140528
139,1,NCT02135380
140,1,NCT02338271
141,1,NCT02083731
142,1,NCT02057965
143,1,NCT02062827
144,1,NCT02062931
145,1,NCT02064062
146,1,NCT02065167
147,1,NCT02065245
148,1,NCT02068794
149,1,NCT02079324
150,1,NCT02080650
151,1,NCT02081937
152,1,NCT02083718
153,1,NCT02097641
154,1,NCT02134262
155,1,NCT02104440
156,1,NCT02104713
157,1,NCT02107118
158,1,NCT02107963
159,1,NCT02108132
160,1,NCT02112500
161,1,NCT02116634
162,1,NCT02117024
163,1,NCT02118519
164,1,NCT02123368
165,1,NCT02127710
166,1,NCT02218437
167,1,NCT02221882
168,1,NCT02223897
169,1,NCT02317458
170,1,NCT02298023
171,1,NCT02301039
172,1,NCT02302599
173,1,NCT02304562
174,1,NCT02304588
175,1,NCT02307435
176,1,NCT02310451
177,1,NCT02313415
178,1,NCT02315027
179,1,NCT02315599
180,1,NCT02315703
181,1,NCT02323477
182,1,NCT02226055
183,1,NCT02323789
184,1,NCT02325843
185,1,NCT02326935
186,1,NCT02327832
187,1,NCT02328612
188,1,NCT02330978
189,1,NCT02331134
190,1,NCT02331966
191,1,NCT02334878
192,1,NCT02336230
193,1,NCT02336646
194,1,NCT02292628
195,1,NCT02291926
196,1,NCT02291770
197,1,NCT02290886
198,1,NCT02230514
199,1,NCT02235844
200,1,NCT02237547
201,1,NCT02237846
202,1,NCT02239393
203,1,NCT02240823
204,1,NCT02240992
205,1,NCT02241018
206,1,NCT02246491
207,1,NCT02247973
208,1,NCT02249676
209,1,NCT02256241
210,1,NCT02260375
211,1,NCT02266394
212,1,NCT02270307
213,1,NCT02274428
214,1,NCT02277145
215,1,NCT02283879
216,1,NCT02285673
217,1,NCT02286128
218,1,NCT02287831
219,1,NCT02287974
220,1,NCT02290041
221,1,NCT02587715
222,1,NCT02594345
223,1,NCT02056613
224,1,NCT02989064
225,1,NCT02963727
226,1,NCT02966717
227,1,NCT02966951
228,1,NCT02968459
229,1,NCT02975960
230,1,NCT02977156
231,1,NCT02980302
232,1,NCT02981576
233,1,NCT02982915
234,1,NCT02985346
235,1,NCT02987413
236,1,NCT02997878
237,1,NCT02961725
238,1,NCT03000712
239,1,NCT03003364
240,1,NCT03007576
241,1,NCT03011541
242,1,NCT03014037
243,1,NCT03014219
244,1,NCT03015623
245,1,NCT03017131
246,1,NCT03017820
247,1,NCT03021642
248,1,NCT03025763
249,1,NCT02962661
250,1,NCT02958267
251,1,NCT03030417
252,1,NCT02932852
253,1,NCT02899091
254,1,NCT02900014
255,1,NCT02917291
256,1,NCT02917681
257,1,NCT02918123
258,1,NCT02919306
259,1,NCT02923375
260,1,NCT02923466
261,1,NCT02926300
262,1,NCT02926963
263,1,NCT02931045
264,1,NCT02940418
265,1,NCT02957552
266,1,NCT02940977
267,1,NCT02941666
268,1,NCT02942277
269,1,NCT02943486
270,1,NCT02943889
271,1,NCT02945449
272,1,NCT02945462
273,1,NCT02947191
274,1,NCT02949414
275,1,NCT02951897
276,1,NCT02957279
277,1,NCT03028428
278,1,NCT03032913
279,1,NCT02594839
280,1,NCT03137979
281,1,NCT03109301
282,1,NCT03109873
283,1,NCT03112122
284,1,NCT03113747
285,1,NCT03115749
286,1,NCT03117738
287,1,NCT03120624
288,1,NCT03123458
289,1,NCT03130374
290,1,NCT03132922
291,1,NCT03137199
292,1,NCT03138083
293,1,NCT03106662
294,1,NCT03147976
295,1,NCT03152318
296,1,NCT03155191
297,1,NCT03157804
298,1,NCT03158896
299,1,NCT03164083
300,1,NCT03166189
301,1,NCT03166865
302,1,NCT03167138
303,1,NCT03168438
304,1,NCT03169231
305,1,NCT03108677
306,1,NCT03106246
307,1,NCT03033277
308,1,NCT03066245
309,1,NCT03034265
310,1,NCT03042143
311,1,NCT03042572
312,1,NCT03044119
313,1,NCT03047772
314,1,NCT03048253
315,1,NCT03055078
316,1,NCT03056742
317,1,NCT03058068
318,1,NCT03059355
319,1,NCT03060551
320,1,NCT03067870
321,1,NCT03103971
322,1,NCT03068988
323,1,NCT03069209
324,1,NCT03070275
325,1,NCT03078621
326,1,NCT03079401
327,1,NCT03083743
328,1,NCT03097770
329,1,NCT03099239
330,1,NCT03102268
331,1,NCT03102879
332,1,NCT03103295
333,1,NCT02893306
