,count,Status
0,501,Completed
1,429,Recruiting
2,405,Unknown status
3,126,Not yet recruiting
4,122,"Active, not recruiting"
5,68,Terminated
6,55,Withdrawn
7,28,Enrolling by invitation
8,22,Suspended
9,16,No longer available
10,9,Available
11,2,Temporarily not available
