,count,search_term
0,1086,mesenchymal
1,175,autologous mesenchymal
2,162,allogeneic mesenchymal
3,132,genetically_engineered
4,119,exosome
5,67,iPSC
6,41,extracellular_vesicles
7,1,msc-derived exosome
