,count,Enrollment
0,139,20.0
1,125,10.0
2,116,30.0
3,71,60.0
4,69,40.0
5,63,15.0
6,55,50.0
7,55,0.0
8,52,100.0
9,50,9.0
10,47,24.0
11,47,12.0
12,37,6.0
13,35,5.0
14,29,200.0
15,27,18.0
16,25,120.0
17,23,80.0
18,23,16.0
19,20,25.0
20,17,8.0
21,17,90.0
22,16,48.0
23,15,3.0
24,15,21.0
25,15,7.0
26,15,1.0
27,13,2.0
28,13,45.0
29,12,36.0
30,12,22.0
31,12,4.0
32,11,19.0
33,11,14.0
34,11,26.0
35,11,300.0
36,11,35.0
37,11,66.0
38,10,11.0
39,10,27.0
40,9,70.0
41,9,28.0
42,9,31.0
43,8,13.0
44,8,52.0
45,7,46.0
46,7,55.0
47,7,32.0
48,7,240.0
49,7,150.0
50,6,65.0
51,6,44.0
52,6,72.0
53,6,140.0
54,6,23.0
55,6,34.0
56,6,180.0
57,5,250.0
58,5,54.0
59,5,1000.0
60,5,42.0
61,5,62.0
62,5,53.0
63,5,17.0
64,5,75.0
65,5,33.0
66,5,43.0
67,4,104.0
68,4,38.0
69,4,56.0
70,4,69.0
71,4,160.0
72,4,64.0
73,4,260.0
74,4,111.0
75,4,400.0
76,4,37.0
77,4,136.0
78,3,102.0
79,3,39.0
80,3,103.0
81,3,500.0
82,3,115.0
83,3,350.0
84,3,98.0
85,3,77.0
86,3,29.0
87,3,76.0
88,3,78.0
89,3,130.0
90,3,108.0
91,3,106.0
92,3,57.0
93,3,49.0
94,3,84.0
95,2,74.0
96,2,164.0
97,2,125.0
98,2,320.0
99,2,47.0
100,2,2000.0
101,2,59.0
102,2,82.0
103,2,220.0
104,2,51.0
105,2,210.0
106,2,83.0
107,2,91.0
108,2,41.0
109,2,252.0
110,2,63.0
111,2,5000.0
112,2,81.0
113,2,68.0
114,2,600.0
115,1,124.0
116,1,334.0
117,1,194.0
118,1,417.0
119,1,266.0
120,1,58.0
121,1,330.0
122,1,73.0
123,1,112.0
124,1,404.0
125,1,263.0
126,1,158.0
127,1,4000.0
128,1,114.0
129,1,85.0
130,1,94.0
131,1,165.0
132,1,105.0
133,1,142.0
134,1,192.0
135,1,203.0
136,1,153.0
137,1,116.0
138,1,315.0
139,1,159.0
140,1,144.0
141,1,113.0
142,1,121.0
143,1,566.0
144,1,757.0
145,1,601.0
146,1,1271.0
147,1,204.0
148,1,1049.0
149,1,67.0
150,1,591.0
151,1,780.0
152,1,609.0
153,1,163.0
154,1,156.0
155,1,61.0
156,1,177.0
157,1,93.0
158,1,261.0
159,1,278.0
160,1,1274.0
161,1,393.0
162,1,132.0
163,1,230.0
164,1,700.0
165,1,154.0
166,1,248.0
167,1,396.0
168,1,92.0
169,1,155.0
170,1,110.0
171,1,900.0
172,1,850.0
173,1,223.0
174,1,3000.0
175,1,172.0
176,1,470.0
177,1,169.0
178,1,800.0
179,1,86.0
180,1,242.0
181,1,118.0
182,1,1668.0
183,1,536.0
184,1,820.0
185,1,23000.0
186,1,185.0
187,1,186.0
188,1,480.0
189,1,107.0
190,1,575.0
191,1,152.0
192,1,148.0
193,1,2800.0
194,1,383.0
195,1,96.0
196,1,99.0
197,0,
198,0,
199,0,
200,0,
201,0,
202,0,
203,0,
204,0,
205,0,
206,0,
207,0,
208,0,
209,0,
210,0,
211,0,
212,0,
213,0,
214,0,
215,0,
216,0,
217,0,
218,0,
219,0,
220,0,
221,0,
222,0,
223,0,
224,0,
225,0,
226,0,
