,count,Year
0,219,['2020']
1,175,['2021']
2,168,['2019']
3,147,['2017']
4,137,['2018']
5,135,['2015']
6,124,['2016']
7,120,['2014']
8,105,['2013']
9,96,['2012']
10,68,['2010']
11,60,['2022']
12,57,['2011']
13,49,['2009']
14,37,['2008']
15,17,['2007']
16,12,['2006']
17,10,['2005']
18,8,['2004']
19,2,['2003']
20,1,['2025']
21,1,['2023']
22,1,['1995']
23,1,['1999']
24,1,['2001']
25,1,['1998']
26,1,['2000']
27,0,
